Date,"Open Price","Close Price","High Price","Low Price",Volume
23/05/2014,6820.56,6815.75,6825.53,6793.47,483463168
27/05/2014,6815.75,6844.94,6857.1,6815.37,582897664
28/05/2014,6844.94,6851.22,6855.83,6833.61,564512256
29/05/2014,6851.22,6871.29,6882.14,6848.06,394967488
30/05/2014,6871.29,6844.51,6874.33,6831.99,1164551552
02/06/2014,6844.51,6864.1,6874.38,6844.51,464262720
03/06/2014,6864.1,6836.3,6865.38,6817.96,492103072
04/06/2014,6836.3,6818.63,6840.6,6800.1,557748352
05/06/2014,6818.63,6813.49,6847,6795.27,615846848
06/06/2014,6813.49,6858.21,6862.91,6813.49,741278976
09/06/2014,6858.21,6875,6878.96,6857.7,379577568
10/06/2014,6875,6873.55,6875.24,6835.8,532278912
11/06/2014,6873.55,6838.87,6873.55,6825.24,666307008
12/06/2014,6838.87,6843.11,6853.18,6827.03,524709280
13/06/2014,6843.11,6777.85,6843.11,6758.15,625834688
16/06/2014,6777.85,6754.64,6779.4,6748.04,573574528
17/06/2014,6754.64,6766.77,6774.87,6736.11,572510976
18/06/2014,6766.77,6778.56,6799.59,6766.77,509302336
19/06/2014,6778.56,6808.11,6837.57,6778.56,563395136
20/06/2014,6808.11,6825.2,6840.62,6791.2,1016888960
23/06/2014,6825.2,6800.56,6829.76,6785.83,469144160
24/06/2014,6800.56,6787.07,6824.45,6776.8,571484544
25/06/2014,6787.07,6733.62,6787.07,6716.35,586910336
26/06/2014,6733.62,6735.12,6753.25,6701.59,902551360
27/06/2014,6735.12,6757.77,6767.63,6735.12,516986880
30/06/2014,6757.77,6743.94,6777.11,6730.45,614336448
01/07/2014,6743.94,6802.92,6805.9,6743.94,513045120
02/07/2014,6802.92,6816.37,6829.49,6796.61,479497952
03/07/2014,6816.37,6865.21,6866.56,6815.45,523958656
04/07/2014,6865.21,6866.05,6875.31,6856.35,329363552
07/07/2014,6866.05,6823.51,6866.37,6817.6,387937728
08/07/2014,6823.51,6738.45,6831.02,6738.45,660175232
09/07/2014,6738.45,6718.04,6740.82,6692.77,600885248
10/07/2014,6718.04,6672.37,6724.8,6643.62,764873472
11/07/2014,6672.37,6690.17,6696.1,6663.67,529996672
14/07/2014,6690.17,6746.14,6760.73,6690.17,468494688
15/07/2014,6746.14,6710.45,6764,6709.15,604327680
16/07/2014,6710.45,6784.67,6792.55,6710.45,610714432
17/07/2014,6784.67,6738.32,6784.67,6727.71,631292736
18/07/2014,6738.32,6749.45,6749.89,6690.9,584832064
21/07/2014,6749.45,6728.44,6753.42,6715.78,470501856
22/07/2014,6728.44,6795.34,6801.84,6728.44,537779520
